"Grade","Students","Female","Female_Percentage","Male","Male_Percentage","State","State_Percentage","School_Year"
"Grade-11",NA,2217,1.8,2797,2.3,NA,NA,"1998-99"
"Grade-11",NA,1937,1.6,2581,2,NA,NA,"1999-00"
"Grade-11",NA,1525,1.2,2000,1.6,NA,NA,"2000-01"
"Grade-11",NA,1414,1.1,1914,1.4,NA,NA,"2001-02"
"Grade-11",NA,1481,1.1,1979,1.5,NA,NA,"2002-03"
"Grade-11",NA,1457,1.1,1920,1.4,NA,NA,"2003-04"
"Grade-11",NA,1769,1.3,2308,1.6,NA,NA,"2004-05"
"Grade-11",289764,4297,3,5798,4,10095,3.5,"2005-06"
"Grade-11",296766,4394,3,5944,4,10338,3.5,"2006-07"
"Grade-11",301083,3725,2.5,4883,3.2,8608,2.9,"2007-08"
"Grade-11",309674,3344,2.2,4279,2.7,7623,2.5,"2008-09"
"Grade-11",316870,2788,1.8,3711,2.3,6499,2.1,"2009-10"
"Grade-11",319371,2860,1.8,3982,2.5,6842,2.1,"2010-11"
"Grade-11",328525,3363,2.1,4521,2.7,7884,2.4,"2011-12"
"Grade-11",332981,3096,1.9,4341,2.6,7437,2.2,"2012-13"
"Grade-11",331518,2940,1.8,4005,2.4,6945,2.1,"2013-14"
"Grade-11",342461,2980,1.8,4210,2.4,7190,2.1,"2014-15"
"Grade-11",351665,2972,1.7,4189,2.4,7161,2,"2015-16"
"Grade-11",363449,2805,1.6,4127,2.2,6932,1.9,"2016-17"
"Grade-11",371103,2754,1.5,4056,2.2,6810,1.8,"2017-18"
"Grade-11",371855,2902,1.6,4082,2.2,6984,1.9,"2018-19"
