"Grade_Level","Race","Female","Female_Percentage","Male","Male_Percentage","Female_Dropouts","Female_Dropouts_Percentage","Male_Dropouts","Male_Dropouts_Percentage","Annual_Female_Dropout_Rate","Annual_Male_Dropout_Rate","School_Year"
7,"African-American",23867,14.6,24841,14.5,38,15.1,31,11.9,0.2,0.1,"2002-03"
8,"African-American",23351,14.7,23994,14.3,73,14.2,85,18.5,0.3,0.4,"2002-03"
9,"African-American",27086,14.8,31261,15.1,373,17.2,550,19.9,1.4,1.8,"2002-03"
10,"African-American",22352,14.8,23169,14.4,310,19.2,440,19.8,1.4,1.9,"2002-03"
11,"African-American",18322,13.9,17953,13.3,243,16.4,404,20.4,1.3,2.3,"2002-03"
12,"African-American",18352,14,17437,13.4,274,18.5,373,19,1.5,2.1,"2002-03"
7,"African-American",24292,14.8,25324,14.5,33,16.4,55,23.4,0.1,0.2,"2003-04"
8,"African-American",23797,14.5,24449,14.4,67,14.7,70,18.3,0.3,0.3,"2003-04"
9,"African-American",27773,14.9,31246,15.1,295,14.7,444,17.6,1.1,1.4,"2003-04"
10,"African-American",22464,14.5,24087,14.5,261,16.6,410,19.1,1.2,1.7,"2003-04"
11,"African-American",19167,14.3,18650,13.6,231,15.9,353,18.4,1.2,1.9,"2003-04"
12,"African-American",18989,14.3,17913,13.4,264,17.2,332,16.5,1.4,1.9,"2003-04"
7,"African-American",24140,14.5,25570,14.5,43,20.4,38,16.6,0.2,0.1,"2004-05"
8,"African-American",24266,14.7,24991,14.4,61,15.1,70,18,0.3,0.3,"2004-05"
9,"African-American",28488,14.9,31837,15.1,352,16.4,494,18.8,1.2,1.6,"2004-05"
10,"African-American",23096,14.7,24155,14.6,321,19.5,444,19,1.4,1.8,"2004-05"
11,"African-American",19514,14.1,19601,13.7,289,16.3,462,20,1.5,2.4,"2004-05"
12,"African-American",19691,14.7,18466,13.7,376,20.2,408,17.2,1.9,2.2,"2004-05"
7,"African-American",26602,15.6,27892,15.5,149,29,190,30.4,0.6,0.7,"2005-06"
8,"African-American",26271,15.5,27276,15.3,241,25.4,249,26.2,0.9,0.9,"2005-06"
9,"African-American",30736,15.8,34303,15.8,1094,20.4,1764,22.3,3.6,5.1,"2005-06"
10,"African-American",25551,15.5,26307,15.3,914,20.8,1534,23.2,3.6,5.8,"2005-06"
11,"African-American",21871,15.3,21512,14.7,829,19.3,1277,22,3.8,5.9,"2005-06"
12,"African-American",21426,15.3,20366,14.5,1801,23.9,1650,23.9,8.4,8.1,"2005-06"
7,"African-American",24312,14.7,26009,14.8,132,26.5,179,29.3,0.5,0.7,"2006-07"
8,"African-American",25832,15.2,26814,15,197,23.5,232,24.7,0.8,0.9,"2006-07"
9,"African-American",29899,15.3,33917,15.6,1100,20.6,1779,22.1,3.7,5.2,"2006-07"
10,"African-American",25109,15.2,25810,14.9,986,21.6,1430,21.7,3.9,5.5,"2006-07"
11,"African-American",22006,14.9,21369,14.3,947,21.6,1324,22.3,4.3,6.2,"2006-07"
12,"African-American",21606,15,20109,14.1,2169,22.6,1815,22.9,10,9,"2006-07"
7,"African-American",24561,14.5,26033,14.5,96,27,102,26.8,0.4,0.4,"2007-08"
8,"African-American",24211,14.6,25823,14.7,121,23,156,21.5,0.5,0.6,"2007-08"
