"Groups","Students","Students_Percentage","Dropouts","Dropouts_Percentage","Annual_Dropout_Rate","School_Year"
"ELL",105840,6,2114,7.7,2,"1998-99"
"ELL",110300,6.1,1891,8.1,1.7,"1999-00"
"ELL",111631,6.1,1587,9,1.4,"2000-01"
"ELL",115093,6.2,1800,10.8,1.6,"2001-02"
"ELL",119236,6.3,2118,12.3,1.8,"2002-03"
"ELL",145861,7.6,2849,17.3,2,"2003-04"
"ELL",157508,8.1,3238,17.7,2.1,"2004-05"
"ELL",163263,8.1,7521,14.5,4.6,"2005-06"
"ELL",152953,7.6,7380,13.3,4.8,"2006-07"
"ELL",158584,7.8,5891,12.9,3.7,"2007-08"
"ELL",158350,7.7,5129,12.5,3.2,"2008-09"
"ELL",153897,7.4,4440,12.7,2.9,"2009-10"
"ELL",152702,7.2,4216,12.3,2.8,"2010-11"
"ELL",152456,7.1,4802,13.2,3.1,"2011-12"
"ELL",160053,7.3,5715,16.5,3.6,"2012-13"
"ELL",181371,8.1,6532,18.5,3.6,"2013-14"
"ELL",205843,9,5559,16.6,2.7,"2014-15"
"ELL",229715,9.9,5892,17.6,2.6,"2015-16"
"ELL",259404,10.9,6828,20.7,2.6,"2016-17"
"ELL",275257,11.4,7008,20.8,2.5,"2017-18"
"ELL",309188,12.7,7881,22.9,2.5,"2018-19"
