"Groups","Students","Students_Percentage","Dropouts","Dropouts_Percentage","Annual_Dropout_Rate","School_Year"
"ESL",84629,4.8,1713,6.2,2,"1998-99"
"ESL",89228,5,1561,6.7,1.7,"1999-00"
"ESL",91217,5,1340,7.6,1.5,"2000-01"
"ESL",95871,5.2,1502,9,1.6,"2001-02"
"ESL",100351,5.3,1825,10.6,1.8,"2002-03"
"ESL",107072,5.6,1914,11.6,1.8,"2003-04"
"ESL",109254,5.6,2103,11.5,1.9,"2004-05"
"ESL",114052,5.7,4867,9.4,4.3,"2005-06"
"ESL",115157,5.7,4963,9,4.3,"2006-07"
"ESL",120593,5.9,3834,8.4,3.2,"2007-08"
"ESL",123493,6,3271,8,2.6,"2008-09"
"ESL",124829,6,3064,8.8,2.5,"2009-10"
"ESL",126407,6,2965,8.6,2.3,"2010-11"
"ESL",127064,5.9,3186,8.8,2.5,"2011-12"
"ESL",133301,6.1,3310,9.5,2.5,"2012-13"
"ESL",150932,6.7,3569,10.1,2.4,"2013-14"
"ESL",174786,7.7,3790,11.3,2.2,"2014-15"
"ESL",199642,8.6,4145,12.4,2.1,"2015-16"
"ESL",225396,9.5,4589,13.9,2,"2016-17"
"ESL",243109,10.1,5015,14.9,2.1,"2017-18"
"ESL",274757,11.3,5425,15.7,2,"2018-19"
