"Groups","Students","Students_Percentage","Dropouts","Dropouts_Percentage","Annual_Dropout_Rate","School_Year"
"GT",178383,10.1,242,0.9,0.1,"1998-99"
"GT",186124,10.4,251,1.1,0.1,"1999-00"
"GT",189371,10.4,163,0.9,0.1,"2000-01"
"GT",193698,10.5,161,1,0.1,"2001-02"
"GT",186135,9.8,122,0.7,0.1,"2002-03"
"GT",186396,9.7,121,0.7,0.1,"2003-04"
"GT",188702,9.7,153,0.8,0.1,"2004-05"
"GT",193355,9.6,430,0.8,0.2,"2005-06"
"GT",196150,9.7,465,0.8,0.2,"2006-07"
"GT",197966,9.7,335,0.7,0.2,"2007-08"
"GT",202102,9.8,323,0.8,0.2,"2008-09"
"GT",206084,9.9,242,0.7,0.1,"2009-10"
"GT",200776,9.5,223,0.6,0.1,"2010-11"
"GT",204611,9.5,238,0.7,0.1,"2011-12"
"GT",207419,9.5,232,0.7,0.1,"2012-13"
"GT",211410,9.4,279,0.8,0.1,"2013-14"
"GT",214086,9.4,284,0.8,0.1,"2014-15"
"GT",217647,9.3,329,1,0.2,"2015-16"
"GT",225078,9.5,349,1.1,0.2,"2016-17"
"GT",231626,9.6,408,1.2,0.2,"2017-18"
"GT",238306,9.8,457,1.3,0.2,"2018-19"
