"Grade_Level","Race","Female","Female_Percentage","Male","Male_Percentage","Female_Dropouts","Female_Dropouts_Percentage","Male_Dropouts","Male_Dropouts_Percentage","Annual_Female_Dropout_Rate","Annual_Male_Dropout_Rate","School_Year"
7,"Hispanic",66897,41,69658,40.7,169,67.3,176,67.4,0.3,0.3,"2002-03"
8,"Hispanic",63892,40.1,66892,40,352,68.5,305,66.3,0.6,0.5,"2002-03"
9,"Hispanic",77591,42.3,88984,43,1410,65.1,1763,63.9,1.8,2,"2002-03"
10,"Hispanic",58006,38.3,62097,38.6,983,60.8,1333,60,1.7,2.1,"2002-03"
11,"Hispanic",46433,35.3,47896,35.4,842,56.9,1047,52.9,1.8,2.2,"2002-03"
12,"Hispanic",46283,35.4,44686,34.4,733,49.5,972,49.6,1.6,2.2,"2002-03"
7,"Hispanic",69846,42.5,73287,42.1,135,67.2,138,58.7,0.2,0.2,"2003-04"
8,"Hispanic",67331,41.1,69716,40.9,316,69.5,243,63.4,0.5,0.3,"2003-04"
9,"Hispanic",79710,42.9,90299,43.6,1367,68.2,1687,66.9,1.7,1.9,"2003-04"
10,"Hispanic",61222,39.5,65300,39.4,980,62.4,1292,60.2,1.6,2,"2003-04"
11,"Hispanic",48928,36.6,50166,36.5,840,57.7,1073,55.9,1.7,2.1,"2003-04"
12,"Hispanic",48236,36.2,47833,35.8,817,53.3,1111,55.3,1.7,2.3,"2003-04"
7,"Hispanic",72277,43.5,75822,43.1,142,67.3,148,64.6,0.2,0.2,"2004-05"
8,"Hispanic",70516,42.7,73450,42.3,265,65.4,253,65,0.4,0.3,"2004-05"
9,"Hispanic",83452,43.8,93682,44.5,1422,66.4,1695,64.6,1.7,1.8,"2004-05"
10,"Hispanic",62658,39.9,65633,39.7,965,58.6,1439,61.7,1.5,2.2,"2004-05"
11,"Hispanic",52267,37.9,53303,37.3,1045,59.1,1273,55.2,2,2.4,"2004-05"
12,"Hispanic",49941,37.2,49471,36.7,1004,53.9,1292,54.4,2,2.6,"2004-05"
7,"Hispanic",74933,44,78865,43.7,294,57.2,324,51.8,0.4,0.4,"2005-06"
8,"Hispanic",73112,43.1,76118,42.7,525,55.3,537,56.6,0.7,0.7,"2005-06"
9,"Hispanic",87341,44.8,98097,45.2,3330,62,4771,60.3,3.8,4.9,"2005-06"
10,"Hispanic",66114,40.2,69065,40.3,2498,56.9,3669,55.5,3.8,5.3,"2005-06"
11,"Hispanic",54400,38,54709,37.3,2340,54.5,2966,51.2,4.3,5.4,"2005-06"
12,"Hispanic",52930,37.8,51914,36.9,4326,57.4,3733,54.1,8.2,7.2,"2005-06"
7,"Hispanic",74407,45,78490,44.7,280,56.1,325,53.3,0.4,0.4,"2006-07"
8,"Hispanic",75576,44.5,78967,44.1,496,59.1,525,55.9,0.7,0.7,"2006-07"
