"Groups","Students","Students_Percentage","Dropouts","Dropouts_Percentage","Annual_Dropout_Rate","School_Year"
NA,NA,NA,NA,NA,NA,NA
"Immigrant",22492,1.3,422,1.8,1.9,"1999-00"
"Immigrant",30923,1.7,432,2.5,1.4,"2000-01"
"Immigrant",35774,1.9,553,3.3,1.5,"2001-02"
"Immigrant",40077,2.1,669,3.9,1.7,"2002-03"
"Immigrant",38161,2,583,3.5,1.5,"2003-04"
"Immigrant",38023,1.9,695,3.8,1.8,"2004-05"
"Immigrant",35675,1.8,1441,2.8,4,"2005-06"
"Immigrant",32947,1.6,1198,2.2,3.6,"2006-07"
"Immigrant",31882,1.6,870,1.9,2.7,"2007-08"
"Immigrant",31068,1.5,771,1.9,2.5,"2008-09"
"Immigrant",29472,1.4,596,1.7,2,"2009-10"
"Immigrant",30757,1.4,546,1.6,1.8,"2010-11"
"Immigrant",28136,1.3,600,1.7,2.1,"2011-12"
"Immigrant",27869,1.3,781,2.3,2.8,"2012-13"
"Immigrant",28922,1.3,825,2.3,2.9,"2013-14"
"Immigrant",33889,1.5,992,3,2.9,"2014-15"
"Immigrant",36124,1.5,1148,3.4,3.2,"2015-16"
"Immigrant",40618,1.7,1346,4.1,3.3,"2016-17"
"Immigrant",39305,1.6,1345,4,3.4,"2017-18"
"Immigrant",37326,1.5,1405,4.1,3.8,"2018-19"
