"Groups","Students","Students_Percentage","Dropouts","Dropouts_Percentage","Annual_Dropout_Rate","School_Year"
"Spec-Ed",237379,13.4,4325,15.7,1.8,"1998-99"
"Spec-Ed",240997,13.4,3834,16.3,1.6,"1999-00"
"Spec-Ed",245152,13.5,2942,16.8,1.2,"2000-01"
"Spec-Ed",248564,13.4,2707,16.3,1.1,"2001-02"
"Spec-Ed",251385,13.3,2956,17.2,1.2,"2002-03"
"Spec-Ed",254202,13.2,3044,18.5,1.2,"2003-04"
"Spec-Ed",256058,13.1,3394,18.6,1.3,"2004-05"
"Spec-Ed",255459,12.7,8161,15.7,3.2,"2005-06"
"Spec-Ed",250573,12.4,8139,14.7,3.2,"2006-07"
"Spec-Ed",241106,11.8,6632,14.5,2.8,"2007-08"
"Spec-Ed",231501,11.2,5845,14.3,2.5,"2008-09"
"Spec-Ed",224196,10.7,5043,14.4,2.2,"2009-10"
"Spec-Ed",219793,10.4,4945,14.4,2.2,"2010-11"
"Spec-Ed",211905,9.9,5111,14.1,2.4,"2011-12"
"Spec-Ed",206981,9.5,4662,13.4,2.3,"2012-13"
"Spec-Ed",206538,9.2,4354,12.3,2.1,"2013-14"
"Spec-Ed",209466,9.2,4207,12.6,2,"2014-15"
"Spec-Ed",214648,9.2,4200,12.6,2,"2015-16"
"Spec-Ed",220661,9.3,4005,12.1,1.8,"2016-17"
"Spec-Ed",229241,9.5,4423,13.1,1.9,"2017-18"
"Spec-Ed",241106,9.9,4453,12.9,1.8,"2018-19"
