"Groups","Students","Students_Percentage","Dropouts","Dropouts_Percentage","Annual_Dropout_Rate","School_Year"
"Title-I",453819,25.6,4535,16.4,1,"1998-99"
"Title-I",497957,27.7,4288,18.3,0.9,"1999-00"
"Title-I",529337,29.1,3864,22,0.7,"2000-01"
"Title-I",549201,29.7,4064,24.4,0.7,"2001-02"
"Title-I",614444,32.5,4821,28.1,0.8,"2002-03"
"Title-I",708541,36.8,5721,34.8,0.8,"2003-04"
"Title-I",778560,39.8,6953,38,0.9,"2004-05"
"Title-I",941413,46.7,31112,60,3.3,"2005-06"
"Title-I",943109,46.6,31798,57.5,3.4,"2006-07"
"Title-I",937521,45.9,26424,57.7,2.8,"2007-08"
"Title-I",935462,45.4,22965,56.1,2.5,"2008-09"
"Title-I",1049612,50.2,20553,58.9,2,"2009-10"
"Title-I",1105343,52.1,19931,58,1.8,"2010-11"
"Title-I",1111512,51.7,21913,60.4,2,"2011-12"
"Title-I",1098023,50.2,21161,61,1.9,"2012-13"
"Title-I",1117209,49.9,21925,62,2,"2013-14"
"Title-I",1148397,50.3,20213,60.5,1.8,"2014-15"
"Title-I",1156427,49.6,19710,58.9,1.7,"2015-16"
"Title-I",1196148,50.3,20281,61.4,1.7,"2016-17"
"Title-I",1224929,50.8,20977,62.3,1.7,"2017-18"
"Title-I",1246678,51.1,22016,63.9,1.8,"2018-19"
