"Grade_Level","Race","Female","Female_Percentage","Male","Male_Percentage","Female_Dropouts","Female_Dropouts_Percentage","Male_Dropouts","Male_Dropouts_Percentage","Annual_Female_Dropout_Rate","Annual_Male_Dropout_Rate","School_Year"
7,"White",67557,41.4,71200,41.6,38,15.1,47,18,0.1,0.1,"2002-03"
8,"White",67151,42.1,70912,42.4,75,14.6,60,13,0.1,0.1,"2002-03"
9,"White",73104,39.9,80793,39,360,16.6,413,15,0.5,0.5,"2002-03"
10,"White",66252,43.7,70362,43.7,304,18.8,413,18.6,0.5,0.6,"2002-03"
11,"White",62161,47.3,64672,47.8,370,25,490,24.8,0.6,0.8,"2002-03"
12,"White",61530,47,63119,48.6,450,30.4,584,29.8,0.7,0.9,"2002-03"
7,"White",65406,39.8,70083,40.2,25,12.4,41,17.4,0.1,0.1,"2003-04"
8,"White",67408,41.2,70755,41.5,61,13.4,65,17,0.1,0.1,"2003-04"
9,"White",72837,39.2,79508,38.3,317,15.8,359,14.2,0.4,0.5,"2003-04"
10,"White",65994,42.6,70587,42.6,308,19.6,414,19.3,0.5,0.6,"2003-04"
11,"White",60937,45.6,63808,46.4,367,25.2,465,24.2,0.6,0.7,"2003-04"
12,"White",61251,46,62898,47.1,418,27.2,520,25.9,0.7,0.8,"2003-04"
7,"White",64301,38.7,68825,39.1,22,10.4,34,14.8,0.1,0.1,"2004-05"
8,"White",65164,39.5,69632,40.1,70,17.3,62,15.9,0.1,0.1,"2004-05"
9,"White",73011,38.3,78806,37.4,342,16,407,15.5,0.5,0.5,"2004-05"
10,"White",65873,41.9,69745,42.1,332,20.2,421,18,0.5,0.6,"2004-05"
11,"White",60914,44.2,64612,45.2,408,23.1,537,23.3,0.7,0.8,"2004-05"
12,"White",59795,44.5,61831,45.9,443,23.8,617,26,0.7,1,"2004-05"
7,"White",62850,36.9,67576,37.5,59,11.5,106,17,0.1,0.2,"2005-06"
8,"White",64704,38.1,68779,38.6,164,17.3,147,15.5,0.3,0.2,"2005-06"
9,"White",70784,36.3,77683,35.8,873,16.3,1277,16.2,1.2,1.6,"2005-06"
10,"White",66906,40.7,69958,40.8,910,20.7,1307,19.8,1.4,1.9,"2005-06"
11,"White",61378,42.9,64534,44,1071,24.9,1467,25.3,1.7,2.3,"2005-06"
12,"White",60212,43,62749,44.6,1284,17,1403,20.3,2.1,2.2,"2005-06"
7,"White",60684,36.7,64732,36.8,75,15,94,15.4,0.1,0.1,"2006-07"
8,"White",62594,36.8,66851,37.4,133,15.9,169,18,0.2,0.3,"2006-07"
9,"White",69315,35.5,76085,35,822,15.4,1293,16.1,1.2,1.7,"2006-07"
10,"White",64631,39.2,68556,39.7,941,20.6,1305,19.8,1.5,1.9,"2006-07"
11,"White",61754,41.9,64294,43,1075,24.5,1359,22.9,1.7,2.1,"2006-07"
12,"White",60459,41.9,62375,43.8,1628,16.9,1499,18.9,2.7,2.4,"2006-07"
7,"White",60451,35.7,63964,35.6,67,18.8,64,16.8,0.1,0.1,"2007-08"
8,"White",60888,36.6,64546,36.7,102,19.4,110,15.2,0.2,0.2,"2007-08"
9,"White",67058,34.3,73892,33.9,674,14.2,991,13.9,1,1.3,"2007-08"
