"Grade","Students","Female","Female_Percentage","Male","Male_Percentage","State","State_Percentage","School_Year"
"Total",NA,12545,1.5,15047,1.6,NA,NA,"1998-99"
"Total",NA,10377,1.2,13080,1.4,NA,NA,"1999-00"
"Total",NA,7829,0.9,9734,1,NA,NA,"2000-01"
"Total",NA,7400,0.8,9222,1,NA,NA,"2001-02"
"Total",NA,7221,0.8,9213,0.9,NA,NA,"2003-04"
"Total",NA,8036,0.8,10254,1,NA,NA,"2004-05"
"Total",2016470,23052,2.3,28789,2.8,51841,2.6,"2005-06"
"Total",2023570,25261,2.6,30045,2.9,55306,2.7,"2006-07"
"Total",2042203,20618,2.1,25178,2.4,45796,2.2,"2007-08"
"Total",2060701,18645,1.9,22278,2.1,40923,2,"2008-09"
"Total",2091390,15649,1.5,19258,1.8,34907,1.7,"2009-10"
"Total",2122414,15162,1.5,19201,1.8,34363,1.6,"2010-11"
"Total",2150364,15680,1.5,20596,1.9,36276,1.7,"2011-12"
"Total",2189442,14238,1.3,20458,1.8,34696,1.6,"2012-13"
"Total",2238400,13902,1.3,21456,1.9,35358,1.6,"2013-14"
"Total",2284109,13910,1.2,19527,1.7,33437,1.5,"2014-15"
"Total",2330946,13826,1.2,19640,1.6,33466,1.4,"2015-16"
"Total",2376528,13119,1.1,19931,1.6,33050,1.4,"2016-17"
"Total",2410852,13586,1.2,20111,1.6,33697,1.4,"2017-18"
"Total",2440498,13972,1.2,20505,1.6,34477,1.4,"2018-19"
