"Grade","Students","Fem_Grade_7","Female_Percentage","Male_Grade_7","Male_Percentage","State","State_Percentage","School_Year","Grade.1","Students.1","Fem_Grade_8","Female_Percentage.1","Male_Grade_8","Male_Percentage.1","State.1","State_Percentage.1","Grade.2","Students.2","Fem_Grade_9","Female_Percentage.2","Male_Grade_9","Male_Percentage.2","State.2","State_Percentage.2","Grade.3","Students.3","Fem_Grade_10","Female_Percentage.3","Male_Grade_10","Male_Percentage.3","State.3","State_Percentage.3","Grade.4","Students.4","Fem_Grade_11","Female_Percentage.4","Male_Grade_11","Male_Percentage.4","State.4","State_Percentage.4","Grade.5","Students.5","Fem_Grade_12","Female_Percentage.5","Male_Grade_12","Male_Percentage.5","State.5","State_Percentage.5"
"Grade-7",NA,476,0.3,463,0.3,NA,NA,"1998-99","Grade-8",NA,919,0.6,848,0.5,NA,NA,"Grade-9",NA,3452,2,4207,2.1,NA,NA,"Grade-10",NA,2413,1.7,3084,2.1,NA,NA,"Grade-11",NA,2217,1.8,2797,2.3,NA,NA,"Grade-12",NA,3068,2.6,3648,3.1,NA,NA
"Grade-7",NA,342,0.2,361,0.2,NA,NA,"1999-00","Grade-8",NA,710,0.5,605,0.4,NA,NA,"Grade-9",NA,3418,1.9,4212,2.1,NA,NA,"Grade-10",NA,1947,1.4,2684,1.8,NA,NA,"Grade-11",NA,1937,1.6,2581,2,NA,NA,"Grade-12",NA,2023,1.7,2637,2.2,NA,NA
"Grade-7",NA,283,0.2,252,0.2,NA,NA,"2000-01","Grade-8",NA,534,0.3,491,0.3,NA,NA,"Grade-9",NA,2206,1.2,2751,1.4,NA,NA,"Grade-10",NA,1585,1.1,2083,1.3,NA,NA,"Grade-11",NA,1525,1.2,2000,1.6,NA,NA,"Grade-12",NA,1696,1.4,2157,1.8,NA,NA
"Grade-7",NA,257,0.2,257,0.2,NA,NA,"2001-02","Grade-8",NA,513,0.3,478,0.3,NA,NA,"Grade-9",NA,2126,1.2,2554,1.3,NA,NA,"Grade-10",NA,1613,1.1,2079,1.3,NA,NA,"Grade-11",NA,1414,1.1,1914,1.4,NA,NA,"Grade-12",NA,1477,1.2,1940,1.6,NA,NA
"Grade-7",NA,251,0.2,261,0.2,NA,NA,"2002-03","Grade-8",NA,514,0.3,460,0.3,NA,NA,"Grade-9",NA,2166,1.2,2760,1.3,NA,NA,"Grade-10",NA,1616,1.1,2222,1.4,NA,NA,"Grade-11",NA,1481,1.1,1979,1.5,NA,NA,"Grade-12",NA,1480,1.1,1961,1.5,NA,NA
"Grade-7",NA,201,0.1,235,0.1,NA,NA,"2003-04","Grade-8",NA,455,0.3,383,0.2,NA,NA,"Grade-9",NA,2004,1.1,2520,1.2,NA,NA,"Grade-10",NA,1570,1,2147,1.3,NA,NA,"Grade-11",NA,1457,1.1,1920,1.4,NA,NA,"Grade-12",NA,1534,1.2,2008,1.5,NA,NA
"Grade-7",NA,211,0.1,229,0.1,NA,NA,"2004-05","Grade-8",NA,405,0.2,389,0.2,NA,NA,"Grade-9",NA,2143,1.1,2622,1.2,NA,NA,"Grade-10",NA,1647,1,2333,1.4,NA,NA,"Grade-11",NA,1769,1.3,2308,1.6,NA,NA,"Grade-12",NA,1861,1.4,2373,1.8,NA,NA
"Grade-7",350516,514,0.3,625,0.3,1139,0.3,"2005-06","Grade-8",347961,950,0.6,949,0.5,1899,0.5,"Grade-9",411860,5367,2.8,7907,3.6,13274,3.2,"Grade-10",335853,4389,2.7,6608,3.9,10997,3.3,"Grade-11",289764,4297,3,5798,4,10095,3.5,"Grade-12",280516,7535,5.4,6902,4.9,14437,5.1
"Grade-7",340919,499,0.3,610,0.3,1109,0.3,"2006-07","Grade-8",348814,839,0.5,940,0.5,1779,0.5,"Grade-9",412816,5349,2.7,8048,3.7,13397,3.2,"Grade-10",337415,4568,2.8,6581,3.8,11149,3.3,"Grade-11",296766,4394,3,5944,4,10338,3.5,"Grade-12",286840,9612,6.7,7922,5.6,17534,6.1
"Grade-7",349153,356,0.2,381,0.2,737,0.2,"2007-08","Grade-8",342129,525,0.3,726,0.4,1251,0.4,"Grade-9",413394,4747,2.4,7116,3.3,11863,2.9,"Grade-10",339921,3928,2.4,5637,3.2,9565,2.8,"Grade-11",301083,3725,2.5,4883,3.2,8608,2.9,"Grade-12",296523,7337,4.9,6435,4.4,13772,4.6
