"Groups","Students","Students_Percentage","Dropouts","Dropouts_Percentage","Annual_Dropout_Rate","School_Year"
"ESL",84629,4.8,1713,6.2,2,"1998-99"
"GT",178383,10.1,242,0.9,0.1,"1998-99"
"Spec-Ed",237379,13.4,4325,15.7,1.8,"1998-99"
"Title-I",453819,25.6,4535,16.4,1,"1998-99"
"At-Risk",585442,33,10444,37.9,1.8,"1998-99"
"ELL",105840,6,2114,7.7,2,"1998-99"
"Migrant",27137,1.5,466,1.7,1.7,"1998-99"
"ESL",89228,5,1561,6.7,1.7,"1999-00"
"GT",186124,10.4,251,1.1,0.1,"1999-00"
"Spec-Ed",240997,13.4,3834,16.3,1.6,"1999-00"
"Title-I",497957,27.7,4288,18.3,0.9,"1999-00"
"At-Risk",620461,34.6,9682,41.3,1.6,"1999-00"
"ELL",110300,6.1,1891,8.1,1.7,"1999-00"
"Immigrant",22492,1.3,422,1.8,1.9,"1999-00"
"Migrant",27224,1.5,431,1.8,1.6,"1999-00"
"ESL",91217,5,1340,7.6,1.5,"2000-01"
"GT",189371,10.4,163,0.9,0.1,"2000-01"
"Spec-Ed",245152,13.5,2942,16.8,1.2,"2000-01"
"Title-I",529337,29.1,3864,22,0.7,"2000-01"
"At-Risk",658785,36.2,7618,43.4,1.2,"2000-01"
"ELL",111631,6.1,1587,9,1.4,"2000-01"
"Immigrant",30923,1.7,432,2.5,1.4,"2000-01"
"Migrant",27650,1.5,333,1.9,1.2,"2000-01"
"ESL",95871,5.2,1502,9,1.6,"2001-02"
"GT",193698,10.5,161,1,0.1,"2001-02"
"Spec-Ed",248564,13.4,2707,16.3,1.1,"2001-02"
"Title-I",549201,29.7,4064,24.4,0.7,"2001-02"
"At-Risk",652286,35.3,7809,47,1.2,"2001-02"
"ELL",115093,6.2,1800,10.8,1.6,"2001-02"
"Immigrant",35774,1.9,553,3.3,1.5,"2001-02"
"Migrant",37865,2,602,3.6,1.6,"2001-02"
"ESL",100351,5.3,1825,10.6,1.8,"2002-03"
"GT",186135,9.8,122,0.7,0.1,"2002-03"
"Spec-Ed",251385,13.3,2956,17.2,1.2,"2002-03"
"Title-I",614444,32.5,4821,28.1,0.8,"2002-03"
"At-Risk",643256,34,8677,50.6,1.3,"2002-03"
"ELL",119236,6.3,2118,12.3,1.8,"2002-03"
"Immigrant",40077,2.1,669,3.9,1.7,"2002-03"
"Migrant",39527,2.1,655,3.8,1.7,"2002-03"
"ESL",107072,5.6,1914,11.6,1.8,"2003-04"
"GT",186396,9.7,121,0.7,0.1,"2003-04"
"Spec-Ed",254202,13.2,3044,18.5,1.2,"2003-04"
"Title-I",708541,36.8,5721,34.8,0.8,"2003-04"
"At-Risk",754035,39.2,8506,51.8,1.1,"2003-04"
"ELL",145861,7.6,2849,17.3,2,"2003-04"
"Immigrant",38161,2,583,3.5,1.5,"2003-04"
"Migrant",39987,2.1,686,4.2,1.7,"2003-04"
"ESL",109254,5.6,2103,11.5,1.9,"2004-05"
"GT",188702,9.7,153,0.8,0.1,"2004-05"
"Spec-Ed",256058,13.1,3394,18.6,1.3,"2004-05"
"Title-I",778560,39.8,6953,38,0.9,"2004-05"
"At-Risk",815182,41.7,10050,54.9,1.2,"2004-05"
"ELL",157508,8.1,3238,17.7,2.1,"2004-05"
"Immigrant",38023,1.9,695,3.8,1.8,"2004-05"
"Migrant",34382,1.8,604,3.3,1.8,"2004-05"
"ESL",114052,5.7,4867,9.4,4.3,"2005-06"
"GT",193355,9.6,430,0.8,0.2,"2005-06"
"Spec-Ed",255459,12.7,8161,15.7,3.2,"2005-06"
"Title-I",941413,46.7,31112,60,3.3,"2005-06"
"At-Risk",910402,45.1,29507,56.9,3.2,"2005-06"
"ELL",163263,8.1,7521,14.5,4.6,"2005-06"
"Immigrant",35675,1.8,1441,2.8,4,"2005-06"
"Migrant",26960,1.3,1153,2.2,4.3,"2005-06"
"ESL",115157,5.7,4963,9,4.3,"2006-07"
"GT",196150,9.7,465,0.8,0.2,"2006-07"
"Spec-Ed",250573,12.4,8139,14.7,3.2,"2006-07"
"Title-I",943109,46.6,31798,57.5,3.4,"2006-07"
"At-Risk",903181,44.6,32454,58.7,3.6,"2006-07"
"ELL",152953,7.6,7380,13.3,4.8,"2006-07"
"Immigrant",32947,1.6,1198,2.2,3.6,"2006-07"
"Migrant",20898,1,899,1.6,4.3,"2006-07"
"ESL",120593,5.9,3834,8.4,3.2,"2007-08"
"GT",197966,9.7,335,0.7,0.2,"2007-08"
"Spec-Ed",241106,11.8,6632,14.5,2.8,"2007-08"
